user_id,product_id,timestamp,action
890,68,2026-02-18 02:14:53.657988,cart
890,59,2026-02-18 02:55:53.657988,cart
890,36,2026-02-18 03:16:53.657988,view
890,65,2026-02-18 03:28:53.657988,view
890,64,2026-02-18 03:32:53.657988,view
485,42,2026-02-18 04:14:53.657988,view
890,59,2026-02-18 04:29:53.657988,view
890,48,2026-02-18 04:52:53.657988,cart
485,22,2026-02-18 05:00:53.657988,view
890,55,2026-02-18 05:09:53.657988,view
83,71,2026-02-18 05:14:53.657988,purchase
320,49,2026-02-18 05:14:53.657988,view
890,15,2026-02-18 05:17:53.657988,view
320,60,2026-02-18 05:37:53.657988,view
83,70,2026-02-18 05:48:53.657988,purchase
485,30,2026-02-18 05:48:53.657988,view
320,38,2026-02-18 05:48:53.657988,view
485,21,2026-02-18 05:54:53.657988,view
181,64,2026-02-18 06:14:53.657988,view
605,43,2026-02-18 06:14:53.657988,view
991,10,2026-02-18 06:14:53.657988,cart
890,51,2026-02-18 06:17:53.657988,cart
181,59,2026-02-18 06:23:53.657988,view
320,34,2026-02-18 06:23:53.657988,view
485,44,2026-02-18 06:41:53.657988,view
83,71,2026-02-18 06:45:53.657988,view
181,55,2026-02-18 06:46:53.657988,view
485,30,2026-02-18 06:47:53.657988,cart
181,55,2026-02-18 06:51:53.657988,view
605,34,2026-02-18 06:53:53.657988,view
991,41,2026-02-18 07:02:53.657988,purchase
890,49,2026-02-18 07:04:53.657988,view
605,69,2026-02-18 07:07:53.657988,view
320,49,2026-02-18 07:10:53.657988,view
33,20,2026-02-18 07:14:53.657988,view
890,51,2026-02-18 07:17:53.657988,view
181,72,2026-02-18 07:23:53.657988,purchase
33,65,2026-02-18 07:25:53.657988,view
181,48,2026-02-18 07:30:53.657988,view
83,19,2026-02-18 07:38:53.657988,view
181,50,2026-02-18 07:39:53.657988,view
485,25,2026-02-18 07:39:53.657988,purchase
485,22,2026-02-18 07:44:53.657988,cart
33,61,2026-02-18 07:46:53.657988,view
991,6,2026-02-18 07:47:53.657988,view
83,2,2026-02-18 07:52:53.657988,view
890,71,2026-02-18 07:59:53.657988,view
33,73,2026-02-18 08:00:53.657988,view
605,9,2026-02-18 08:05:53.657988,view
83,63,2026-02-18 08:06:53.657988,cart
83,68,2026-02-18 08:08:53.657988,view
320,59,2026-02-18 08:09:53.657988,view
327,50,2026-02-18 08:14:53.657988,view
605,37,2026-02-18 08:14:53.657988,view
933,53,2026-02-18 08:14:53.657988,cart
33,49,2026-02-18 08:15:53.657988,view
933,46,2026-02-18 08:17:53.657988,cart
181,58,2026-02-18 08:21:53.657988,cart
485,36,2026-02-18 08:25:53.657988,view
890,50,2026-02-18 08:29:53.657988,view
890,52,2026-02-18 08:34:53.657988,cart
320,49,2026-02-18 08:34:53.657988,view
320,41,2026-02-18 08:36:53.657988,view
485,37,2026-02-18 08:36:53.657988,view
991,11,2026-02-18 08:41:53.657988,view
327,43,2026-02-18 08:42:53.657988,view
933,47,2026-02-18 08:45:53.657988,view
605,69,2026-02-18 08:51:53.657988,view
890,51,2026-02-18 08:56:53.657988,cart
83,65,2026-02-18 08:56:53.657988,view
485,22,2026-02-18 08:57:53.657988,view
327,60,2026-02-18 09:04:53.657988,purchase
33,63,2026-02-18 09:06:53.657988,view
181,65,2026-02-18 09:11:53.657988,view
580,30,2026-02-18 09:14:53.657988,view
327,51,2026-02-18 09:15:53.657988,view
83,50,2026-02-18 09:15:53.657988,view
933,55,2026-02-18 09:19:53.657988,view
327,56,2026-02-18 09:26:53.657988,view
890,72,2026-02-18 09:27:53.657988,cart
320,55,2026-02-18 09:27:53.657988,view
327,71,2026-02-18 09:28:53.657988,view
83,62,2026-02-18 09:32:53.657988,view
181,54,2026-02-18 09:32:53.657988,view
890,46,2026-02-18 09:32:53.657988,view
991,15,2026-02-18 09:33:53.657988,view
485,45,2026-02-18 09:40:53.657988,view
83,70,2026-02-18 09:40:53.657988,purchase
327,49,2026-02-18 09:41:53.657988,cart
605,39,2026-02-18 09:50:53.657988,cart
580,56,2026-02-18 09:53:53.657988,view
83,87,2026-02-18 09:55:53.657988,view
33,62,2026-02-18 10:00:53.657988,view
933,48,2026-02-18 10:00:53.657988,view
485,16,2026-02-18 10:08:53.657988,view
327,68,2026-02-18 10:09:53.657988,view
485,39,2026-02-18 10:22:53.657988,view
890,67,2026-02-18 10:22:53.657988,view
933,50,2026-02-18 10:23:53.657988,view
181,70,2026-02-18 10:31:53.657988,view
991,2,2026-02-18 10:33:53.657988,cart
605,75,2026-02-18 10:36:53.657988,view
991,14,2026-02-18 10:44:53.657988,cart
890,64,2026-02-18 10:48:53.657988,cart
580,62,2026-02-18 10:53:53.657988,cart
605,37,2026-02-18 10:57:53.657988,view
890,68,2026-02-18 10:57:53.657988,view
327,73,2026-02-18 10:59:53.657988,view
991,43,2026-02-18 11:02:53.657988,view
485,20,2026-02-18 11:13:53.657988,view
582,88,2026-02-18 11:14:53.657988,view
181,73,2026-02-18 11:17:53.657988,cart
933,56,2026-02-18 11:19:53.657988,view
181,59,2026-02-18 11:23:53.657988,view
485,45,2026-02-18 11:25:53.657988,cart
890,57,2026-02-18 11:26:53.657988,purchase
181,47,2026-02-18 11:37:53.657988,view
485,20,2026-02-18 11:46:53.657988,cart
580,18,2026-02-18 11:49:53.657988,view
605,62,2026-02-18 11:54:53.657988,view
327,65,2026-02-18 11:57:53.657988,view
991,2,2026-02-18 12:02:53.657988,cart
582,76,2026-02-18 12:02:53.657988,view
485,40,2026-02-18 12:05:53.657988,view
